plant,fungi ,chromista,bacteria ,animal
c1ccccc1,C1=CCCCC1,c1ccccc1,c1ccccc1,C1CCC2C(C1)CCC1C3CCCC3CCC21
C1CCCCC1,c1ccccc1,C1=CCCCCC=CC1,c1ccc2nc3ccccc3nc2c1,c1ccccc1
O=c1ccocc1,C1=CCOC1,C1=CC2CCCCCC2C1,C1CCOCC1,c1ccc2[nH]ccc2c1
C1CCOCC1,C1=CCCC1,c1ccc2c(c1)CCCO2,O=c1cccco1,C1CCOOC1
C1CCOC1,c1ccc2c(c1)CCOC2,c1ccc(Oc2ccccc2)cc1,c1cscn1,c1cc[nH]c1
O=c1cccco1,C1CCCCC1,C1=Cc2ccccc2OC1,c1ccncc1,C1CCOCC1
C1CCCC1,C1CCCC1,C1=C2CCC3CCCCC3CC2CC1,O=C1CCCO1,C1=C2CCCCC2C2CCC3CCCC3C2C1
C1=COCCC1,c1ccc2c(c1)COC2,c1ccc2c(c1)CC1(CCCC3C4CCCCC4CCC31)O2,C(=NC1COCCCCOC1)c1ccccc1,c1ccoc1
c1ccoc1,C1=CCOCC1,C1=CCCC2CCCC2C=CCCC1,O=C1C=CCO1,C1CCC2C(C1)CCC1CCCC12
C1CCC23CCC(CCC2C1)C3,c1ccc(COc2ccccc2)cc1,O=C1C=CC(=O)C=C1,O=c1ccc2nc3ccccc3oc-2c1,O=c1ccc(C2CC3OC34C2CCC2C3CCCCC3CCC24)co1
